id,name
138,155A Venice
148,3d-wax-printer
116,afm2
134,afm-asylum
129,afm-asylum-loaner
227,AFM NanoCue
176,afm-nsil
4,AIX200
5,AIXCCS
229,AIXCCS bake
186,aixtron-graphene
113,aja2-evap
175,aja-evap
1,aja-sputter
193,All Litho Training
126,alphastep
167,alphastep2
174,alveole
230,AML Bonder
38,asml
14,aw610_l
15,aw610_r
194,B1T1 Flexible Oxide Anneal
206,B1T2 Flexible Oxide
210,B1T3 Flexible Poly
211,B1T4 Flexible LTO
207,B2T5 Clean Anneal
208,B2T6 Clean Oxide
212,B2T7 Flexible Nitride
213,B2T8 Clean LTO
214,B3T10 Clean Nitride
215,B3T11 Clean TEOS
216,B3T12 Clean Poly
209,B3T9 Clean Oxide
223,Beckman centrifuge
151,biologic
46,bluem
228,Bruker CMP
27,ccp-dep
130,centrifuge
219,cha-evap
7,ck-test
101,ck-test2
159,cmp
70,cpd
119,cvd-nanotube
179,cytoviva
12,Demo Tool
182,disco-backgrind
144,DISCO wafersaw
160,disperser
145,eddycurrent
220,edwards-sputter-evap
13,epi2
39,evalign
40,evalign2
94,evbond
37,evgspraycoat
9,fiji1
50,fiji2
51,fiji3
96,filmetrics
218,filmetrics2
158,flipchipbonder
11,form2-3d-printer
140,fumehood1
139,fumehood2
137,fumehood3
136,fumehood4
55,gasonics
184,glovebox-l
183,glovebox-r
221,gs-test
28,hdpcvd
30,headway2
127,headway3
168,heat-seal-press
157,heidelberg
124,heidelberg2
123,heidelberg3
165,hotplate-1
152,hummer
54,intlvac_evap
155,jasco-uv-vis-nir
41,karlsuss
42,karlsuss2
135,keyence
232,Keyence VHX-X1 (Torramics)
233,Keyence VK-X3000 (Torramics)
95,ksbonder
149,lakeshore-hall
56,lampoly
133,lasercutter
141,laserscribe
163,laurell_dev-etch
31,laurell-G
32,laurell-R
171,lesker2-sputter
146,lesker-sputter
71,lithosolv
231,LPKF ProtoLaser U4
153,malvern-dls
43,masksrub
57,matrix
181,micromanipulator6000
187,micromill
115,micromist-coater
58,mrc
52,mvd
164,nanoinkjet
10,nanoscribe
97,nanospec2
156,nanospec3
120,optomec
125,optomec-printer
154,oriel-duv
64,Ox-35
224,Ox-ALE
59,oxford-rie
189,Ox-gen
225,Ox-Ox
226,Ox-PECVD
99,p2
60,p5000etch
128,parcoater
114,plasma-etch
222,Probe Station P200L
98,prometrix
67,PT-DSE
66,PT-MTL
65,PT-Ox
122,pv-tester
150,raith
162,redfurnace
68,samco
8,savannah
29,seki-diamond
169,sem-merlin
142,sinton-lifetime-tester
172,s-neox
191,SNF Safety Tour
180,sonicator
173,spincoat-g3p8
100,stresstest
61,stsetch
33,svgcoat
34,svgcoat2
35,svgcoat3
36,svgcoat4
44,svgdev
45,svgdev2
69,technics
17,thermco3
18,thermco4
24,thermcolto
25,thermcopoly2
143,thermolyne
185,thermoscientific-oven
170,thinky-mixer
166,trainee
19,tylan9
20,tylanfga
62,uetch
47,uvcure
118,voltera
72,wbclean-1
73,wbclean-2
74,wbclean-3
76,wbclean_res-HF
77,wbclean_res-hotphos
75,wbclean_res-piranha
78,wbdecon
132,wbexfab_dev
188,wbexfab_dev-plug
178,wbexfab_solv
177,wbexfab_solv-plug
79,wbflexcorr-1
80,wbflexcorr-2
81,wbflexcorr-3
82,wbflexcorr-4
86,wbflexcorr-plug
87,wbflexcorr-plug2
83,wbflexsolv
84,wbflexsolv-1
85,wbflexsolv-2
88,wbflexsolv-plug
192,wbgen2-hp
89,wbmiscres
90,wbresstrip-1
91,wbresstrip-2
92,wbresstrip-3
93,wbresstrip-4
48,white-oven
161,woollam
63,xactix
49,yes
121,yes2
117,zygo